,SN,HSOH1824,HSOHO25,BOHO25,WHITE,BLACK,UEO16,LT1WH,MIH,NHIP,PF,PP,CIPERTHOUSAND,ABOLISHDP
0,Alabama14,0.839,0.847,0.235,0.6670182910562615,0.26022297409282996,0.086,0.10099999999999999,0.59464,0.121,0.15,0.193,0.00026732414148183654,0
1,Alaska14,0.855,0.929,0.28,0.6369778803188347,0.03157353421497022,0.076,0.039,0.89094,0.172,0.079,0.11199999999999999,0.07818707803979541,1
2,Arizona14,0.83,0.861,0.276,0.6764240209289062,0.04346968574829845,0.079,0.078,0.68103,0.136,0.132,0.182,0.059106594045147655,0
3,Arkansas14,0.858,0.853,0.214,0.7423233349143805,0.15281844547100423,0.068,0.087,0.57693,0.11800000000000001,0.138,0.18899999999999997,0.07477118468969295,0
4,California14,0.87,0.821,0.317,0.5080428765473164,0.059586064043722374,0.085,0.059000000000000004,0.88595,0.124,0.122,0.16399999999999998,0.0625612944704146,0
5,Colorado14,0.873,0.905,0.38299999999999995,0.767165298492781,0.040355410336528424,0.055,0.06,0.82295,0.10300000000000001,0.08,0.12,0.04015848240851593,0
6,Connecticut14,0.882,0.9009999999999999,0.38,0.7308662414934077,0.10394888999379341,0.079,0.06,1.00948,0.069,0.075,0.10800000000000001,0.03189452410003399,1
7,Delaware14,0.847,0.89,0.306,0.6528827921701402,0.21679620720037965,0.067,0.067,0.78773,0.078,0.085,0.125,0.07242693079265126,0
8,District-of-Columbia14,0.883,0.902,0.55,0.3896671093651616,0.4669830563405803,0.08900000000000001,0.114,1.03525,0.053,0.142,0.177,0.20777291339914647,1
9,Florida14,0.835,0.872,0.273,0.6752432923807711,0.15573281722178894,0.08,0.079,0.6751,0.166,0.12,0.165,0.06509136719271351,0
10,Georgia14,0.831,0.856,0.29100000000000004,0.5639751400242935,0.3068591923330417,0.083,0.085,0.6882,0.158,0.141,0.183,0.07783408770166195,0
11,Hawaii14,0.915,0.917,0.31,0.23976717259450656,0.01589170765127953,0.054000000000000006,0.057,0.86866,0.053,0.078,0.114,0.01349883505053514,1
12,Idaho14,0.859,0.9009999999999999,0.25,0.860305110704528,0.0072643246750550465,0.055,0.071,0.64115,0.136,0.102,0.14800000000000002,0.02493353136098019,0
13,Illinois14,0.872,0.882,0.32799999999999996,0.6748622734669443,0.14373405880807236,0.081,0.073,0.79379,0.09699999999999999,0.105,0.14400000000000002,0.04557467850651677,1
14,Indiana14,0.83,0.884,0.247,0.8142127016453224,0.09300387717911524,0.071,0.07,0.64422,0.11900000000000001,0.109,0.152,0.06682383899563969,0
15,Iowa14,0.893,0.9209999999999999,0.27699999999999997,0.8849161938460173,0.03423935213610637,0.044000000000000004,0.061,0.69618,0.062,0.079,0.122,0.02645352682198666,1
16,Kansas14,0.873,0.903,0.315,0.8048468477630313,0.05827525851198682,0.052000000000000005,0.064,0.71045,0.102,0.092,0.136,0.04263055262947999,0
17,Kentucky14,0.867,0.845,0.222,0.8557109962049995,0.07886572412707113,0.076,0.10099999999999999,0.59057,0.085,0.145,0.191,0.049438606961308994,0
18,Louisiana14,0.808,0.836,0.22899999999999998,0.6032511434335429,0.3179155013412243,0.075,0.10300000000000001,0.63728,0.14800000000000002,0.149,0.198,0.12362471045791498,0
19,Maine14,0.881,0.917,0.294,0.93430416192671,0.014698647545582947,0.059000000000000004,0.073,0.65842,0.10099999999999999,0.09699999999999999,0.141,0.025183818557116433,1
20,Maryland14,0.878,0.8959999999999999,0.382,0.5423266587372365,0.2945849153553093,0.07200000000000001,0.052000000000000005,0.97016,0.079,0.071,0.10099999999999999,0.07221259387637204,1
21,Massachusetts14,0.898,0.897,0.41200000000000003,0.7592200641603982,0.06798418442237943,0.067,0.063,0.95404,0.033,0.083,0.11599999999999999,0.024651135082057466,1
22,Michigan14,0.869,0.899,0.27399999999999997,0.7689762163606481,0.13962780316471354,0.083,0.078,0.66794,0.085,0.114,0.162,0.07493910222174922,1
23,Minnesota14,0.88,0.9259999999999999,0.34299999999999997,0.8204454691885159,0.05929068808391861,0.047,0.054000000000000006,0.81824,0.059000000000000004,0.075,0.115,0.021801289630132736,1
24,Mississippi14,0.821,0.828,0.21100000000000002,0.5788976035466816,0.3685882018279398,0.098,0.115,0.54887,0.145,0.165,0.215,0.07517048223190889,0
25,Missouri14,0.868,0.889,0.275,0.8044818232109033,0.11493536907884029,0.068,0.08199999999999999,0.65169,0.11699999999999999,0.107,0.155,0.09098524604658402,0
26,Montana14,0.867,0.9259999999999999,0.293,0.873700112621053,0.0044871264499838906,0.049,0.075,0.62309,0.142,0.095,0.154,0.037548954449363355,0
27,Nebraska14,0.894,0.903,0.295,0.8290355562537499,0.04698187019379111,0.042,0.059000000000000004,0.68359,0.09699999999999999,0.087,0.124,0.03890703764644963,0
28,Nevada14,0.8180000000000001,0.851,0.231,0.5965383962035601,0.08841915462786673,0.08900000000000001,0.066,0.67029,0.152,0.11,0.152,0.0836178791565437,0
29,New-Hampshire14,0.886,0.922,0.35,0.9158901198424692,0.012731658947436246,0.051,0.038,0.86622,0.092,0.06,0.092,0.015101078122596215,0
30,New-Jersey14,0.879,0.8909999999999999,0.374,0.6298107362535695,0.1346723860365572,0.075,0.057,0.99055,0.109,0.083,0.111,0.05183383487501693,1
31,New-Mexico14,0.817,0.8420000000000001,0.264,0.6128645721939642,0.021076234605041728,0.087,0.105,0.6147,0.145,0.165,0.213,0.08073193591398012,1
32,New-York14,0.872,0.857,0.345,0.6140814146965838,0.15419359450708386,0.073,0.081,0.86563,0.087,0.122,0.159,0.04123457875076493,1
33,North-Carolina14,0.862,0.8640000000000001,0.287,0.6580503170390758,0.21069557630585695,0.083,0.079,0.65099,0.131,0.128,0.172,0.06284791744736586,0
